what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.forms,3.5.0.v20100427,"org.eclipse.ui.forms",1395683163010
started,bundle,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.ide",1395683163010
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1395683163010
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1395683163010
started,bundle,org.eclipse.ui.views.log,1.0.100.v20100423,"org.eclipse.ui.views.log",1395683163010
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1395683163010
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1395683163010
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.100.v201005190114,"org.eclipse.wst.common.project.facet.core",1395683163010
started,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.0.v201005250108,"org.eclipse.wst.jsdt.debug.ui",1395683163010
started,bundle,org.eclipse.wst.web,1.1.400.v201005270700,"org.eclipse.wst.web",1395683163010
os,sysinfo,,,"win32",1395683163026
arch,sysinfo,,,"x86",1395683163026
ws,sysinfo,,,"win32",1395683163026
locale,sysinfo,,,"en_US",1395683163026
processors,sysinfo,,,"2",1395683163026
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1395683163026
java.runtime.version,sysinfo,,,"1.6.0_31-b05",1395683163026
java.specification.name,sysinfo,,,"Java Platform API Specification",1395683163026
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1395683163026
java.specification.version,sysinfo,,,"1.6",1395683163026
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1395683163026
java.version,sysinfo,,,"1.6.0_31",1395683163026
java.vm.info,sysinfo,,,"mixed mode",1395683163026
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1395683163026
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1395683163026
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1395683163026
java.vm.specification.version,sysinfo,,,"1.0",1395683163026
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1395683163026
java.vm.version,sysinfo,,,"20.6-b01",1395683163026
started,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1395683163041
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1395683163057
started,bundle,org.eclipse.emf.common,2.6.0.v20100614-1136,"org.eclipse.emf.common",1395683163213
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1395683163244
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1395683163260
started,bundle,org.eclipse.emf.ecore,2.6.0.v20100614-1136,"org.eclipse.emf.ecore",1395683163665
started,bundle,org.eclipse.emf.ecore.xmi,2.5.0.v20100521-1846,"org.eclipse.emf.ecore.xmi",1395683163821
started,bundle,org.eclipse.epp.usagedata.ui,1.3.0.R201005261100,"org.eclipse.epp.usagedata.ui",1395683164274
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.100.v201004202202,"org.eclipse.jst.common.project.facet.core",1395683164305
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.0.v201005191955,"org.eclipse.jst.ws.jaxrs.core",1395683164305
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1395683164851
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1395683401112
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1395683401896
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1395683404733
started,bundle,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui",1395683417447
started,bundle,org.eclipse.wst.server.core,1.1.202.v20100518,"org.eclipse.wst.server.core",1395683417728
